time,Hourly Demand Met (in MW)
23-Jan 11pm,2350.12
24-Jan 12am,1967.29
24-Jan 1am,1744.21
24-Jan 2am,1627.26
24-Jan 3am,1587.45
24-Jan 4am,1678.87
24-Jan 5am,2095.07
24-Jan 6am,3049.25
24-Jan 7am,3827.96
24-Jan 8am,4083.67
24-Jan 9am,4276.06
24-Jan 10am,4398.66
24-Jan 11am,4268.56
24-Jan 12pm,3975.40
24-Jan 1pm,3572.46
24-Jan 2pm,3516.16
24-Jan 3pm,3449.06
24-Jan 4pm,3393.27
24-Jan 5pm,3495.78
24-Jan 6pm,3660.68
24-Jan 7pm,3602.51
24-Jan 8pm,3344.30
24-Jan 9pm,3040.25
24-Jan 10pm,2733.46
24-Jan 11pm,2313.22
25-Jan 12am,1952.72
25-Jan 1am,1738.04
25-Jan 2am,1633.08
25-Jan 3am,1594.13
25-Jan 4am,1696.18
25-Jan 5am,2118.84
25-Jan 6am,3066.02
25-Jan 7am,3830.51
25-Jan 8am,4074.26
25-Jan 9am,4331.01
25-Jan 10am,4490.90
25-Jan 11am,4444.77
25-Jan 12pm,4184.57
25-Jan 1pm,3790.57
25-Jan 2pm,3712.05
25-Jan 3pm,3617.85
25-Jan 4pm,3463.08
25-Jan 5pm,3595.79
25-Jan 6pm,3734.77
25-Jan 7pm,3612.47
25-Jan 8pm,3344.87
25-Jan 9pm,3026.29
25-Jan 10pm,2756.69
25-Jan 11pm,2392.66
26-Jan 12am,2034.24
26-Jan 1am,1810.52
26-Jan 2am,1684.74
26-Jan 3am,1622.89
26-Jan 4am,1681.02
26-Jan 5am,1918.91
26-Jan 6am,2366.60
26-Jan 7am,2939.90
26-Jan 8am,3452.46
26-Jan 9am,3793.41
26-Jan 10am,3917.36
26-Jan 11am,3791.75
26-Jan 12pm,3576.12
26-Jan 1pm,3209.42
26-Jan 2pm,2853.92
26-Jan 3pm,2601.20
26-Jan 4pm,2496.60
26-Jan 5pm,2646.49
26-Jan 6pm,2903.15
26-Jan 7pm,2945.26
26-Jan 8pm,2864.27
26-Jan 9pm,2769.72
26-Jan 10pm,2483.62
26-Jan 11pm,2101.83
27-Jan 12am,1756.50
27-Jan 1am,1551.41
27-Jan 2am,1458.48
27-Jan 3am,1431.16
27-Jan 4am,1519.53
27-Jan 5am,1926.17
27-Jan 6am,2866.40
27-Jan 7am,3720.51
27-Jan 8am,4117.80
27-Jan 9am,4380.00
27-Jan 10am,4651.72
27-Jan 11am,4524.14
27-Jan 12pm,4209.57
27-Jan 1pm,3644.07
27-Jan 2pm,3493.80
27-Jan 3pm,3381.93
27-Jan 4pm,3321.82
27-Jan 5pm,3461.89
27-Jan 6pm,3682.08
27-Jan 7pm,3756.12
27-Jan 8pm,3561.12
27-Jan 9pm,3257.23
27-Jan 10pm,2991.69
27-Jan 11pm,2584.08
28-Jan 12am,2199.27
28-Jan 1am,1983.82
28-Jan 2am,1869.51
28-Jan 3am,1810.85
28-Jan 4am,1868.18
28-Jan 5am,2195.40
28-Jan 6am,2898.50
28-Jan 7am,3629.72
28-Jan 8am,4027.83
28-Jan 9am,4240.95
28-Jan 10am,4327.25
28-Jan 11am,4165.84
28-Jan 12pm,3858.35
28-Jan 1pm,3432.61
28-Jan 2pm,3265.07
28-Jan 3pm,3131.20
28-Jan 4pm,3082.22
28-Jan 5pm,3237.23
28-Jan 6pm,3504.88
28-Jan 7pm,3409.27
28-Jan 8pm,3228.27
28-Jan 9pm,3025.81
28-Jan 10pm,2763.59
28-Jan 11pm,2364.40
29-Jan 12am,1981.36
29-Jan 1am,1741.67
29-Jan 2am,1622.12
29-Jan 3am,1566.37
29-Jan 4am,1627.40
29-Jan 5am,1871.92
29-Jan 6am,2370.68
29-Jan 7am,3016.67
29-Jan 8am,3674.68
29-Jan 9am,4133.87
29-Jan 10am,4409.66
29-Jan 11am,4371.95
29-Jan 12pm,4254.93
29-Jan 1pm,3640.07
29-Jan 2pm,3331.50
29-Jan 3pm,3250.40
29-Jan 4pm,3177.11
29-Jan 5pm,3314.73
29-Jan 6pm,3440.52
29-Jan 7pm,3454.74
29-Jan 8pm,3303.61
29-Jan 9pm,3091.04
29-Jan 10pm,2780.91
29-Jan 11pm,2306.55
30-Jan 12am,1924.91
30-Jan 1am,1689.39
30-Jan 2am,1584.20
30-Jan 3am,1536.54
30-Jan 4am,1614.27
30-Jan 5am,1995.47
30-Jan 6am,2890.40
30-Jan 7am,3639.99
30-Jan 8am,4078.12
30-Jan 9am,4287.23
30-Jan 10am,4552.88
30-Jan 11am,4446.68
30-Jan 12pm,4212.91
30-Jan 1pm,3771.42
30-Jan 2pm,3740.47
30-Jan 3pm,3611.38
30-Jan 4pm,3511.36
30-Jan 5pm,3556.04
30-Jan 6pm,3674.21
30-Jan 7pm,3681.60
30-Jan 8pm,3467.45
30-Jan 9pm,3237.88
30-Jan 10pm,2891.82
30-Jan 11pm,2429.58
31-Jan 12am,2036.38
31-Jan 1am,1785.19
31-Jan 2am,1671.65
31-Jan 3am,1629.07
31-Jan 4am,1711.06
31-Jan 5am,2135.70
31-Jan 6am,3072.60
31-Jan 7am,3881.09
31-Jan 8am,4178.26
31-Jan 9am,4450.96
31-Jan 10am,4568.26
31-Jan 11am,4388.19
31-Jan 12pm,4081.23
31-Jan 1pm,3610.40
31-Jan 2pm,3548.89
31-Jan 3pm,3487.05
31-Jan 4pm,3431.94
31-Jan 5pm,3591.61
31-Jan 6pm,3780.81
31-Jan 7pm,3709.97
31-Jan 8pm,3495.71
31-Jan 9pm,3224.97
31-Jan 10pm,2895.53
31-Jan 11pm,2448.64
