time,Hourly Demand Met (in MW)
18-Apr 6am,3844.93
18-Apr 7am,3782.57
18-Apr 8am,3791.48
18-Apr 9am,4117.12
18-Apr 10am,4580.95
18-Apr 11am,4754.20
18-Apr 12pm,4851.72
18-Apr 1pm,4761.63
18-Apr 2pm,5109.93
18-Apr 3pm,5346.37
18-Apr 4pm,5292.03
18-Apr 5pm,5083.59
18-Apr 6pm,4810.65
18-Apr 7pm,4785.12
18-Apr 8pm,4760.25
18-Apr 9pm,4800.12
18-Apr 10pm,5032.36
18-Apr 11pm,5093.13
19-Apr 12am,4839.88
19-Apr 1am,4515.65
19-Apr 2am,4281.76
19-Apr 3am,4038.67
19-Apr 4am,3830.55
19-Apr 5am,3777.56
19-Apr 6am,3817.64
19-Apr 7am,3736.88
19-Apr 8am,3721.02
19-Apr 9am,4051.24
19-Apr 10am,4473.02
19-Apr 11am,4660.46
19-Apr 12pm,4768.85
19-Apr 1pm,4688.07
19-Apr 2pm,5019.99
19-Apr 3pm,5230.68
19-Apr 4pm,5163.61
19-Apr 5pm,4966.89
19-Apr 6pm,4715.48
19-Apr 7pm,4766.76
19-Apr 8pm,4666.03
19-Apr 9pm,4564.99
19-Apr 10pm,4777.35
19-Apr 11pm,4834.13
20-Apr 12am,4605.91
20-Apr 1am,4340.82
20-Apr 2am,4076.36
20-Apr 3am,3836.43
20-Apr 4am,3700.61
20-Apr 5am,3674.90
20-Apr 6am,3773.21
20-Apr 7am,3667.75
20-Apr 8am,3682.91
20-Apr 9am,4051.26
20-Apr 10am,4475.02
20-Apr 11am,4624.20
20-Apr 12pm,4689.63
20-Apr 1pm,4551.49
20-Apr 2pm,4768.49
20-Apr 3pm,5021.26
20-Apr 4pm,4938.75
20-Apr 5pm,4801.88
20-Apr 6pm,4548.34
20-Apr 7pm,4303.92
20-Apr 8pm,4159.20
20-Apr 9pm,4168.59
20-Apr 10pm,4410.45
20-Apr 11pm,4513.34
21-Apr 12am,4316.42
21-Apr 1am,4004.67
21-Apr 2am,3755.29
21-Apr 3am,3573.79
21-Apr 4am,3460.65
21-Apr 5am,3438.09
21-Apr 6am,3550.35
21-Apr 7am,3527.76
21-Apr 8am,3548.84
21-Apr 9am,3878.18
21-Apr 10am,4298.07
21-Apr 11am,4467.92
21-Apr 12pm,4513.21
21-Apr 1pm,4319.40
21-Apr 2pm,4482.50
21-Apr 3pm,4691.44
21-Apr 4pm,4662.05
21-Apr 5pm,4529.93
21-Apr 6pm,4353.54
21-Apr 7pm,4274.46
21-Apr 8pm,4150.13
21-Apr 9pm,4081.29
21-Apr 10pm,4250.55
21-Apr 11pm,4354.12
22-Apr 12am,4207.85
22-Apr 1am,3943.66
22-Apr 2am,3695.55
22-Apr 3am,3517.02
22-Apr 4am,3401.27
22-Apr 5am,3372.94
22-Apr 6am,3369.96
22-Apr 7am,3324.20
22-Apr 8am,3263.04
22-Apr 9am,3415.86
22-Apr 10am,3723.03
22-Apr 11am,3854.99
22-Apr 12pm,3911.39
22-Apr 1pm,3861.44
22-Apr 2pm,3971.09
22-Apr 3pm,4077.38
22-Apr 4pm,4041.83
22-Apr 5pm,3964.60
22-Apr 6pm,3875.58
22-Apr 7pm,3883.91
22-Apr 8pm,3800.09
22-Apr 9pm,3695.49
22-Apr 10pm,3789.12
22-Apr 11pm,3910.17
23-Apr 12am,3825.67
23-Apr 1am,3594.62
23-Apr 2am,3437.43
23-Apr 3am,3275.43
23-Apr 4am,3173.70
23-Apr 5am,3135.18
23-Apr 6am,3119.17
23-Apr 7am,3083.75
23-Apr 8am,3047.45
23-Apr 9am,3143.74
23-Apr 10am,3392.63
23-Apr 11am,3445.58
23-Apr 12pm,3415.97
23-Apr 1pm,3302.35
23-Apr 2pm,3402.73
23-Apr 3pm,3320.03
23-Apr 4pm,3283.63
23-Apr 5pm,3362.18
23-Apr 6pm,3384.98
23-Apr 7pm,3522.92
23-Apr 8pm,3468.60
23-Apr 9pm,3384.51
23-Apr 10pm,3456.91
23-Apr 11pm,3496.77
24-Apr 12am,3397.14
24-Apr 1am,3241.55
24-Apr 2am,3095.50
24-Apr 3am,2976.28
24-Apr 4am,2908.67
24-Apr 5am,2959.41
24-Apr 6am,3212.72
24-Apr 7am,3239.83
24-Apr 8am,3260.39
24-Apr 9am,3523.99
24-Apr 10am,3871.57
24-Apr 11am,3969.44
24-Apr 12pm,4023.86
24-Apr 1pm,3828.50
24-Apr 2pm,3977.35
24-Apr 3pm,4088.76
24-Apr 4pm,4083.14
24-Apr 5pm,4027.87
24-Apr 6pm,3909.26
24-Apr 7pm,3900.72
24-Apr 8pm,3728.39
24-Apr 9pm,3573.78
24-Apr 10pm,3623.98
24-Apr 11pm,3638.23
25-Apr 12am,3471.01
25-Apr 1am,3289.25
25-Apr 2am,3123.05
25-Apr 3am,2999.76
25-Apr 4am,2927.18
25-Apr 5am,3001.64
25-Apr 6am,3257.79
25-Apr 7am,3257.51
25-Apr 8am,3259.84
25-Apr 9am,3534.50
25-Apr 10am,3895.89
25-Apr 11am,4005.87
25-Apr 12pm,4012.63
25-Apr 1pm,3858.37
25-Apr 2pm,4072.05
25-Apr 3pm,4202.46
25-Apr 4pm,4177.75
25-Apr 5pm,4138.34
25-Apr 6pm,4029.38
25-Apr 7pm,4020.67
25-Apr 8pm,3851.49
25-Apr 9pm,3711.97
25-Apr 10pm,3811.75
25-Apr 11pm,3835.21
26-Apr 12am,3663.38
26-Apr 1am,3457.91
26-Apr 2am,3277.86
26-Apr 3am,3128.79
26-Apr 4am,3064.83
26-Apr 5am,3117.15
26-Apr 6am,3366.98
26-Apr 7am,3379.36
26-Apr 8am,3402.71
26-Apr 9am,3719.27
26-Apr 10am,4139.63
26-Apr 11am,4253.57
26-Apr 12pm,4244.01
26-Apr 1pm,4068.25
26-Apr 2pm,4226.55
26-Apr 3pm,4423.90
26-Apr 4pm,4414.89
26-Apr 5pm,4316.59
26-Apr 6pm,4203.11
26-Apr 7pm,4182.43
