time,Hourly Demand Met (in MW)
14-Apr 3pm,27906.77
14-Apr 4pm,26707.54
14-Apr 5pm,24913.37
14-Apr 6pm,23575.10
14-Apr 7pm,23081.03
14-Apr 8pm,22159.69
14-Apr 9pm,21502.07
14-Apr 10pm,21589.74
14-Apr 11pm,22279.26
15-Apr 12am,22846.11
15-Apr 1am,22851.02
15-Apr 2am,22375.09
15-Apr 3am,22042.58
15-Apr 4am,22267.22
15-Apr 5am,22663.31
15-Apr 6am,23231.04
15-Apr 7am,22995.14
15-Apr 8am,23111.90
15-Apr 9am,24044.25
15-Apr 10am,25128.16
15-Apr 11am,25949.19
15-Apr 12pm,26050.83
15-Apr 1pm,25782.25
15-Apr 2pm,26299.90
15-Apr 3pm,26906.22
15-Apr 4pm,26274.23
15-Apr 5pm,25109.82
15-Apr 6pm,23778.23
15-Apr 7pm,23891.09
15-Apr 8pm,22916.39
15-Apr 9pm,22536.67
15-Apr 10pm,22709.20
15-Apr 11pm,22828.09
16-Apr 12am,23182.97
16-Apr 1am,23315.56
16-Apr 2am,23139.57
16-Apr 3am,23040.04
16-Apr 4am,23232.38
16-Apr 5am,23387.33
16-Apr 6am,23481.21
16-Apr 7am,22954.51
16-Apr 8am,22766.27
16-Apr 9am,23182.56
16-Apr 10am,24015.11
16-Apr 11am,24809.04
16-Apr 12pm,25115.88
16-Apr 1pm,24900.38
16-Apr 2pm,25401.48
16-Apr 3pm,25535.40
16-Apr 4pm,24837.61
16-Apr 5pm,23623.84
16-Apr 6pm,22787.83
16-Apr 7pm,23500.76
16-Apr 8pm,23373.39
16-Apr 9pm,23303.81
16-Apr 10pm,23488.77
16-Apr 11pm,24138.06
17-Apr 12am,24193.06
17-Apr 1am,23825.93
17-Apr 2am,23174.46
17-Apr 3am,22895.37
17-Apr 4am,23159.31
17-Apr 5am,23692.69
17-Apr 6am,24241.41
17-Apr 7am,24006.29
17-Apr 8am,24359.79
17-Apr 9am,25158.15
17-Apr 10am,26443.54
17-Apr 11am,27124.98
17-Apr 12pm,27152.37
17-Apr 1pm,26940.78
17-Apr 2pm,27538.39
17-Apr 3pm,28040.99
17-Apr 4pm,27728.47
17-Apr 5pm,26463.91
17-Apr 6pm,24942.27
17-Apr 7pm,25411.43
17-Apr 8pm,25259.15
17-Apr 9pm,24895.34
17-Apr 10pm,25014.38
17-Apr 11pm,24620.10
18-Apr 12am,24221.69
18-Apr 1am,24680.19
18-Apr 2am,24331.44
18-Apr 3am,24140.11
18-Apr 4am,24536.10
18-Apr 5am,24971.13
18-Apr 6am,25241.52
18-Apr 7am,24601.51
18-Apr 8am,24832.46
18-Apr 9am,25703.10
