time,Hourly Demand Met (in MW)
27-Jan 7pm,22798.03
27-Jan 8pm,21354.01
27-Jan 9pm,20522.27
27-Jan 10pm,20138.55
27-Jan 11pm,19652.41
28-Jan 12am,19361.16
28-Jan 1am,19351.73
28-Jan 2am,19463.26
28-Jan 3am,19468.40
28-Jan 4am,19933.83
28-Jan 5am,20883.23
28-Jan 6am,22024.92
28-Jan 7am,23177.03
28-Jan 8am,24256.52
28-Jan 9am,25450.04
28-Jan 10am,26564.56
28-Jan 11am,26273.81
28-Jan 12pm,25606.43
28-Jan 1pm,24712.74
28-Jan 2pm,24845.14
28-Jan 3pm,25135.60
28-Jan 4pm,24457.30
28-Jan 5pm,23459.55
28-Jan 6pm,23147.16
28-Jan 7pm,23485.73
28-Jan 8pm,21965.25
28-Jan 9pm,21198.95
28-Jan 10pm,20698.46
28-Jan 11pm,20466.95
29-Jan 12am,20085.39
29-Jan 1am,20052.80
29-Jan 2am,20070.55
29-Jan 3am,20034.51
29-Jan 4am,20423.59
29-Jan 5am,21082.24
29-Jan 6am,21473.75
29-Jan 7am,22461.07
29-Jan 8am,24121.27
29-Jan 9am,25461.84
29-Jan 10am,26297.86
29-Jan 11am,26073.17
29-Jan 12pm,25438.24
29-Jan 1pm,24601.36
29-Jan 2pm,24363.38
29-Jan 3pm,24306.87
29-Jan 4pm,23575.88
29-Jan 5pm,22429.19
29-Jan 6pm,22158.98
29-Jan 7pm,22580.55
29-Jan 8pm,21286.00
29-Jan 9pm,20423.09
29-Jan 10pm,20108.04
29-Jan 11pm,19833.62
30-Jan 12am,19690.58
30-Jan 1am,19769.93
30-Jan 2am,19842.70
30-Jan 3am,19926.09
30-Jan 4am,20474.59
30-Jan 5am,21396.51
30-Jan 6am,22568.34
30-Jan 7am,23807.33
30-Jan 8am,24750.12
30-Jan 9am,25625.94
30-Jan 10am,26568.92
30-Jan 11am,26487.63
30-Jan 12pm,25996.61
30-Jan 1pm,25258.84
30-Jan 2pm,25565.38
30-Jan 3pm,25770.11
30-Jan 4pm,25156.16
30-Jan 5pm,23932.55
30-Jan 6pm,23360.46
30-Jan 7pm,23795.51
30-Jan 8pm,22328.46
30-Jan 9pm,21586.73
30-Jan 10pm,21154.48
30-Jan 11pm,20689.29
31-Jan 12am,20363.25
31-Jan 1am,20357.95
31-Jan 2am,20244.95
31-Jan 3am,20403.34
31-Jan 4am,20952.88
31-Jan 5am,21801.13
31-Jan 6am,23127.23
31-Jan 7am,24501.91
31-Jan 8am,25617.86
31-Jan 9am,26626.64
31-Jan 10am,27089.50
31-Jan 11am,27266.37
31-Jan 12pm,26791.21
31-Jan 1pm,26075.92
31-Jan 2pm,26077.25
31-Jan 3pm,26013.66
31-Jan 4pm,25244.12
31-Jan 5pm,23927.28
31-Jan 6pm,23401.25
31-Jan 7pm,23655.14
31-Jan 8pm,22211.10
31-Jan 9pm,21198.06
31-Jan 10pm,20745.70
31-Jan 11pm,20327.37
